GTIN Code;GTIN Name;Segmentation (GPC);GPC Segmentation Code;GPC Brick Code;GPC Class Code;GPC Family Code;GTIN Image;Brand Code;Brand;Brand Image;Brand Link;Brand Owner;Brand Owner Code;Brand Owner Link;Brand Owner Wikipedia Link;Brand Owner Image;GCP Code;GLN Code;Logistical Owner (GLN);GLN Country ISO Code;GLN City;GLN Postal Code;GLN Address2;GLN Address3;GLN Address4;GLN Last Change;GLN Return Code;Number of Units;Package Type Code;Package Type Name;Weight (g);Weight (oz);Volume (ml);Volume (fl oz);Alcohol by Volume;Alcohol by Weight;Registration;Registration Country ISO Code
0036200004432;Pasta Sauce;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200004432.jpg;QEL52R;Ragù;http://product.okfn.org.s3.amazonaws.com/images/brand/QEL52R.jpg;http://www.ragu.com;;;;;;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;737.0;26.0;;;;;GS1 US;US
0036200004739;Marinara Sauce;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200004739.jpg;8E39AN;Bertolli;http://product.okfn.org.s3.amazonaws.com/images/brand/8E39AN.jpg;http://www.bertolli.com;Unilever;000002;http://www.unilever.com;http://en.wikipedia.org/wiki/Unilever;http://product.okfn.org.s3.amazonaws.com/images/group/000002.jpg;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;737.0;26.0;;;;;GS1 US;US
0036200004746;Pasta Sauce;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200004746.jpg;8E39AN;Bertolli;http://product.okfn.org.s3.amazonaws.com/images/brand/8E39AN.jpg;http://www.bertolli.com;Unilever;000002;http://www.unilever.com;http://en.wikipedia.org/wiki/Unilever;http://product.okfn.org.s3.amazonaws.com/images/group/000002.jpg;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;454.0;16.0;;;;;GS1 US;US
0036200004890;Pasta Sauce Classic Italian Meat;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200004890.jpg;QEL52R;Ragù;http://product.okfn.org.s3.amazonaws.com/images/brand/QEL52R.jpg;http://www.ragu.com;;;;;;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;737.0;26.0;;;;;GS1 US;US
0036200004913;Pasta Sauce Flavored With Italian Sausage Romano & Garlic;;;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200004913.jpg;;;;;;;;;;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;737.0;26.0;;;;;GS1 US;US
0036200004920;Pasta Sauce Creamy Garlic Alfredo;;;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200004920.jpg;;;;;;;;;;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;453.0;16.0;;;;;GS1 US;US
0036200005507;Pizza Sauce Homemade Style;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200005507.jpg;QEL52R;Ragù;http://product.okfn.org.s3.amazonaws.com/images/brand/QEL52R.jpg;http://www.ragu.com;;;;;;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;;14.0;;;;;GS1 US;US
0036200005804;Pizza Quick Traditional Sauce;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200005804.jpg;QEL52R;Ragù;http://product.okfn.org.s3.amazonaws.com/images/brand/QEL52R.jpg;http://www.ragu.com;;;;;;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;;14.0;;;;;GS1 US;US
0036200007068;Ravioli;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200007068.jpg;8E39AN;Bertolli;http://product.okfn.org.s3.amazonaws.com/images/brand/8E39AN.jpg;http://www.bertolli.com;Unilever;000002;http://www.unilever.com;http://en.wikipedia.org/wiki/Unilever;http://product.okfn.org.s3.amazonaws.com/images/group/000002.jpg;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;680.0;24.0;;;;;GS1 US;US
0036200018798;Traditional Basil Pesto With Extra Virgin Olive Oil;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200018798.jpg;8E39AN;Bertolli;http://product.okfn.org.s3.amazonaws.com/images/brand/8E39AN.jpg;http://www.bertolli.com;Unilever;000002;http://www.unilever.com;http://en.wikipedia.org/wiki/Unilever;http://product.okfn.org.s3.amazonaws.com/images/group/000002.jpg;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;226.0;8.0;;;;;GS1 US;US
